MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,4700001140,0061398540,EKPO,010470000114000010,NETWR,U,      40000.00,      30000.00
010,EINKBELEG,0072095499,0061399345,EKPO,010007209549900010,NETPR,U,    18500.00,    11400.00
010,EINKBELEG,0072095499,0061399345,EKPO,010007209549900010,NETWR,U,      18500.00,      11400.00
010,EINKBELEG,0072095499,0061399340,EKPO,010007209549900010,NETPR,U,    19500.00,    18500.00
010,EINKBELEG,0072095499,0061399340,EKPO,010007209549900010,NETWR,U,      19500.00,      18500.00
010,EINKBELEG,0071157217,0061492031,EKPO,010007115721700040,NETPR,U,    57539.39,    66952.98
010,EINKBELEG,0071157217,0061492031,EKPO,010007115721700040,NETWR,U,      57539.39,      66952.98
010,EINKBELEG,0072096696,0061505581,EKPO,010007209669600010,NETPR,U,    45400.00,     3000.00
010,EINKBELEG,0072096696,0061505581,EKPO,010007209669600010,NETWR,U,      45400.00,       3000.00
010,EINKBELEG,0072096696,0061505581,EKPO,010007209669600010,TWRKZ,U,2,
010,EINKBELEG,0072096696,0061505581,EKPO,010007209669600010,TXZ01,U,"Plbg. Kroppstr.18, 10K-, Stat- Neub.",Plbg. Kroppstr. 18 Stations Neub.
010,EINKBELEG,0072096696,0061505581,EKPO,010007209669600010,VRTKZ,U,2,
010,EINKBELEG,0071159099,0061510447,EKPO,010007115909900100,NETPR,U,     4243.50,     3932.35
010,EINKBELEG,0071159099,0061510447,EKPO,010007115909900100,NETWR,U,       4243.50,       3932.35
010,EINKBELEG,0071159099,0061510447,EKPO,010007115909900110,NETPR,U,     8219.61,     8546.75
010,EINKBELEG,0071159099,0061510447,EKPO,010007115909900110,NETWR,U,       8219.61,       8546.75
010,EINKBELEG,0072096165,0061568275,EKPO,010007209616500010,NETPR,U,     5500.00,     4500.00
010,EINKBELEG,0072096165,0061568275,EKPO,010007209616500010,NETWR,U,       5500.00,       4500.00
010,EINKBELEG,0072096066,0061574742,EKPO,010007209606600010,NETPR,U,     2920.72,     5000.00
010,EINKBELEG,0072096066,0061574742,EKPO,010007209606600010,NETWR,U,       2920.72,       5000.00
010,EINKBELEG,0072097579,0061594076,EKPO,010007209757900010,NETPR,U,   691176.05,   628171.70
010,EINKBELEG,0072097579,0061594076,EKPO,010007209757900010,NETWR,U,     691176.05,     628171.70
010,EINKBELEG,0072097579,0061594700,EKPO,010007209757900010,NETPR,U,   693224.40,   691176.05
010,EINKBELEG,0072097579,0061594700,EKPO,010007209757900010,NETWR,U,     693224.40,     691176.05
010,EINKBELEG,0072096295,0061595273,EKPO,010007209629500010,EREKZ,U,X,
010,EINKBELEG,0072096295,0061595273,EKPO,010007209629500020,EREKZ,U,X,
010,EINKBELEG,0072096295,0061595273,EKPO,010007209629500030,EREKZ,U,X,
010,EINKBELEG,0072097579,0061606681,EKPO,010007209757900010,NETPR,U,   697957.35,   693224.40
010,EINKBELEG,0072097579,0061606681,EKPO,010007209757900010,NETWR,U,     697957.35,     693224.40
010,EINKBELEG,0072096165,0061674281,EKPO,010007209616500010,NETPR,U,     5447.87,     5500.00
010,EINKBELEG,0072096165,0061674281,EKPO,010007209616500010,NETWR,U,       5447.87,       5500.00
010,EINKBELEG,0072097762,0061686829,EKPO,010007209776200010,NETPR,U,    14000.00,    20000.00
010,EINKBELEG,0072097762,0061686829,EKPO,010007209776200010,NETWR,U,      14000.00,      20000.00
010,EINKBELEG,0072099461,0061709655,EKPO,010007209946100010,NETPR,U,     3024.00,     3000.00
010,EINKBELEG,0072099461,0061709655,EKPO,010007209946100010,NETWR,U,       3024.00,       3000.00
010,EINKBELEG,0071154204,0061712907,EKPO,010007115420400010,EREKZ,U,X,
010,EINKBELEG,0071154204,0061712907,EKPO,010007115420400020,EREKZ,U,X,
010,EINKBELEG,0071154204,0061712907,EKPO,010007115420400040,EREKZ,U,X,
010,EINKBELEG,0072095124,0061753325,EKPO,010007209512400010,EREKZ,U,X,
010,EINKBELEG,0072095124,0061753325,EKPO,010007209512400010,NETPR,U,    13000.00,    19000.00
010,EINKBELEG,0072095124,0061753325,EKPO,010007209512400010,NETWR,U,      13000.00,      19000.00
010,EINKBELEG,0072097441,0061755022,EKPO,010007209744100020,NETPR,U,    10000.00,     6000.00
010,EINKBELEG,0072097441,0061755022,EKPO,010007209744100020,NETWR,U,      10000.00,       6000.00
010,EINKBELEG,0072097441,0062398435,EKPO,010007209744100020,NETPR,U,     9500.00,    10000.00
010,EINKBELEG,0072097441,0062398435,EKPO,010007209744100020,NETWR,U,       9500.00,      10000.00
010,EINKBELEG,0072097441,0062398470,EKPO,010007209744100020,NETPR,U,     8188.15,     9500.00
010,EINKBELEG,0072097441,0062398470,EKPO,010007209744100020,NETWR,U,       8188.15,       9500.00
010,EINKBELEG,0072097996,0062444766,EKPO,010007209799600010,EREKZ,U,X,
010,EINKBELEG,0072095499,0062490457,EKPO,010007209549900010,NETPR,U,    24621.00,    19500.00
010,EINKBELEG,0072095499,0062490457,EKPO,010007209549900010,NETWR,U,      24621.00,      19500.00
010,EINKBELEG,0072097762,0062560262,EKPO,010007209776200020,EREKZ,U,X,
010,EINKBELEG,0071159957,0062674945,EKPO,010007115995700010,NETPR,U,     2794.70,     2100.00
010,EINKBELEG,0071159957,0062674945,EKPO,010007115995700010,NETWR,U,       2794.70,       2100.00
010,EINKBELEG,0071159957,0062674991,EKPO,010007115995700010,NETPR,U,     2100.00,     2794.70
010,EINKBELEG,0071159957,0062674991,EKPO,010007115995700010,NETWR,U,       2100.00,       2794.70
010,EINKBELEG,0071159957,0062675026,EKPO,010007115995700010,NETPR,U,     2794.70,     2100.00
010,EINKBELEG,0071159957,0062675026,EKPO,010007115995700010,NETWR,U,       2794.70,       2100.00
010,EINKBELEG,0071159957,0062675051,EKPO,010007115995700010,NETPR,U,     2100.00,     2794.70
010,EINKBELEG,0071159957,0062675051,EKPO,010007115995700010,NETWR,U,       2100.00,       2794.70
010,EINKBELEG,0072097762,0062681374,EKPO,010007209776200020,NETPR,U,     4400.00,     2000.00
010,EINKBELEG,0072097762,0062681374,EKPO,010007209776200020,NETWR,U,       4400.00,       2000.00
