MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,UDATE,UTIME,TCODE
010,EINKBELEG,0072106647,0067607653,2020-11-05T00:00:00,1970-01-01T07:04:44,ME22N
010,EINKBELEG,0072106647,0067660022,2020-11-09T00:00:00,1970-01-01T13:14:00,ME22N
010,EINKBELEG,0072106956,0067664991,2020-11-09T00:00:00,1970-01-01T17:46:55,ME23N
010,EINKBELEG,0072106956,0068042142,2020-12-02T00:00:00,1970-01-01T16:29:40,ME22N
010,EINKBELEG,0072106956,0068257152,2020-12-17T00:00:00,1970-01-01T17:39:59,ME23N
010,EINKBELEG,0072106956,0068263127,2020-12-18T00:00:00,1970-01-01T10:31:34,ME22N
010,EINKBELEG,0072105729,0069071421,2021-02-26T00:00:00,1970-01-01T12:03:06,ME23N
010,EINKBELEG,0072105729,0069100558,2021-03-01T00:00:00,1970-01-01T14:38:03,ME29N
010,EINKBELEG,0072107604,0071291965,2021-08-20T00:00:00,1970-01-01T10:09:11,ME23N
010,EINKBELEG,0072107604,0072405829,2021-11-19T00:00:00,1970-01-01T06:54:09,ME23N
010,EINKBELEG,0072107604,0072483948,2021-11-24T00:00:00,1970-01-01T10:42:33,ME23N
010,EINKBELEG,0072107625,0070362211,2021-05-31T00:00:00,1970-01-01T14:29:07,ME22N
010,EINKBELEG,0072107625,0070362270,2021-05-31T00:00:00,1970-01-01T14:27:24,ME23N
010,EINKBELEG,0072107625,0070362278,2021-05-31T00:00:00,1970-01-01T14:27:55,ME23N
010,EINKBELEG,0072107625,0070362331,2021-05-31T00:00:00,1970-01-01T14:28:52,ME29N
010,EINKBELEG,0072107625,0072798495,2021-12-15T00:00:00,1970-01-01T15:13:49,ME23N
010,EINKBELEG,0072107406,0071813171,2021-10-06T00:00:00,1970-01-01T06:43:05,ME23N
010,EINKBELEG,0072109699,0070982620,2021-07-22T00:00:00,1970-01-01T12:25:53,ME29N
010,EINKBELEG,0072109699,0071215574,2021-08-12T00:00:00,1970-01-01T11:34:49,ME22N
010,EINKBELEG,0072109699,0072603306,2021-12-02T00:00:00,1970-01-01T14:32:53,ME23N
010,EINKBELEG,0072109699,0073270606,2022-01-19T00:00:00,1970-01-01T12:35:11,ME22N
010,EINKBELEG,0072109699,0075309747,2022-07-04T00:00:00,1970-01-01T08:54:16,ME23N
010,EINKBELEG,0072109402,0071214231,2021-08-12T00:00:00,1970-01-01T10:37:46,ME22N
010,EINKBELEG,0072109402,0075542784,2022-07-26T00:00:00,1970-01-01T13:08:17,ME22N
010,EINKBELEG,0072109409,0071213982,2021-08-12T00:00:00,1970-01-01T10:24:03,ME22N
010,EINKBELEG,0072109409,0071305379,2021-08-23T00:00:00,1970-01-01T13:01:32,ME22N
010,EINKBELEG,0072109409,0071305388,2021-08-23T00:00:00,1970-01-01T13:03:45,ME22N
010,EINKBELEG,0072109409,0071859500,2021-10-08T00:00:00,1970-01-01T19:47:50,ME22N
010,EINKBELEG,0072109409,0072287337,2021-11-09T00:00:00,1970-01-01T16:31:06,ME22N
010,EINKBELEG,0072109409,0072288396,2021-11-09T00:00:00,1970-01-01T19:21:10,ME22N
010,EINKBELEG,0072109409,0072620365,2021-12-03T00:00:00,1970-01-01T13:05:42,ME22N
010,EINKBELEG,0072109409,0072620644,2021-12-03T00:00:00,1970-01-01T13:15:30,ME22N
010,EINKBELEG,0072109409,0072620683,2021-12-03T00:00:00,1970-01-01T13:21:07,ME22N
010,EINKBELEG,0072109409,0072620859,2021-12-03T00:00:00,1970-01-01T13:26:20,ME22N
010,EINKBELEG,0072109409,0072634367,2021-12-06T00:00:00,1970-01-01T10:14:41,ME22N
010,EINKBELEG,0072109409,0074097299,2022-03-18T00:00:00,1970-01-01T09:38:38,ME22N
010,EINKBELEG,0072109409,0074352670,2022-04-07T00:00:00,1970-01-01T10:55:17,ME22N
010,EINKBELEG,0072109409,0075542757,2022-07-26T00:00:00,1970-01-01T13:09:29,ME22N
010,EINKBELEG,0072109977,0072602748,2021-12-02T00:00:00,1970-01-01T14:00:03,ME23N
010,EINKBELEG,0072109977,0073363127,2022-01-27T00:00:00,1970-01-01T09:38:06,ME23N
010,EINKBELEG,0072109977,0073403883,2022-01-31T00:00:00,1970-01-01T12:24:43,ME23N
010,EINKBELEG,0072109055,0072295292,2021-11-10T00:00:00,1970-01-01T10:20:11,ME22N
010,EINKBELEG,0072109055,0072298958,2021-11-10T00:00:00,1970-01-01T13:49:12,ME22N
010,EINKBELEG,0072109055,0072300439,2021-11-10T00:00:00,1970-01-01T15:32:40,ME22N
010,EINKBELEG,0072109055,0072300586,2021-11-10T00:00:00,1970-01-01T15:37:37,ME22N
010,EINKBELEG,0072110742,0075230279,2022-06-24T00:00:00,1970-01-01T19:31:48,ME23N
010,EINKBELEG,0072111961,0073459067,2022-02-03T00:00:00,1970-01-01T07:15:02,ME23N
010,EINKBELEG,0072111995,0073738160,2022-02-23T00:00:00,1970-01-01T11:41:02,ME29N
010,EINKBELEG,0072111995,0073738194,2022-02-23T00:00:00,1970-01-01T11:42:07,ME29N
010,EINKBELEG,0072111995,0073738244,2022-02-23T00:00:00,1970-01-01T11:43:14,ME29N
010,EINKBELEG,0072116706,0075540895,2022-07-26T00:00:00,1970-01-01T11:02:08,ME23N
010,EINKBELEG,0072116706,0075542649,2022-07-26T00:00:00,1970-01-01T12:53:46,ME23N
010,EINKBELEG,0072116706,0075594298,2022-08-01T00:00:00,1970-01-01T12:55:35,ME23N
010,EINKBELEG,0072116706,0075594355,2022-08-01T00:00:00,1970-01-01T12:57:18,ME23N
010,EINKBELEG,0072116706,0075926128,2022-09-01T00:00:00,1970-01-01T09:54:06,ME23N
010,EINKBELEG,0072115541,0075753708,2022-08-16T00:00:00,1970-01-01T14:45:17,ME23N
010,EINKBELEG,0076066096,0068881769,2021-02-11T00:00:00,1970-01-01T14:53:47,ME29N
010,EINKBELEG,0076066096,0068881788,2021-02-11T00:00:00,1970-01-01T14:53:32,ME29N
010,EINKBELEG,0076066096,0068881951,2021-02-11T00:00:00,1970-01-01T15:06:14,ME29N
010,EINKBELEG,0076066096,0068881952,2021-02-11T00:00:00,1970-01-01T15:06:35,ME29N
010,EINKBELEG,0076066970,0074938735,2022-05-30T00:00:00,1970-01-01T12:52:34,ME29N
010,EINKBELEG,0076066970,0074986705,2022-06-01T00:00:00,1970-01-01T14:07:10,ME23N
010,EINKBELEG,0076066970,0075094660,2022-06-13T00:00:00,1970-01-01T07:07:32,ME23N
010,EINKBELEG,4700001456,0067269795,2020-10-13T00:00:00,1970-01-01T06:37:23,ME23N
010,EINKBELEG,4700001456,0068232265,2020-12-16T00:00:00,1970-01-01T11:52:22,ME23N
010,EINKBELEG,4700001456,0071245201,2021-08-16T00:00:00,1970-01-01T08:27:47,ME23N
010,EINKBELEG,4700001456,0073959042,2022-03-09T00:00:00,1970-01-01T11:58:04,ME23N
010,EINKBELEG,4700001459,0068740105,2021-02-01T00:00:00,1970-01-01T10:35:37,ME22N
010,EINKBELEG,4700001459,0069001714,2021-02-22T00:00:00,1970-01-01T10:53:58,ME23N
010,EINKBELEG,4700001459,0072257564,2021-11-08T00:00:00,1970-01-01T09:09:14,ME22N
010,EINKBELEG,4700001465,0065678292,2020-06-24T00:00:00,1970-01-01T08:06:16,ME22N
010,EINKBELEG,4700001465,0066149464,2020-07-31T00:00:00,1970-01-01T07:28:45,ME23N
010,EINKBELEG,4700001465,0067274337,2020-10-13T00:00:00,1970-01-01T10:42:03,ME23N
010,EINKBELEG,4700001465,0067679465,2020-11-10T00:00:00,1970-01-01T08:52:50,ME23N
010,EINKBELEG,4700001465,0068507318,2021-01-13T00:00:00,1970-01-01T11:04:15,ME23N
010,EINKBELEG,4700001474,0068396691,2021-01-06T00:00:00,1970-01-01T09:27:11,ME23N
010,EINKBELEG,4700001474,0072807782,2021-12-16T00:00:00,1970-01-01T09:28:18,ME23N
010,EINKBELEG,4700001474,0072807861,2021-12-16T00:00:00,1970-01-01T09:31:10,ME23N
010,EINKBELEG,4700001474,0075356568,2022-07-07T00:00:00,1970-01-01T11:17:14,ME23N
010,EINKBELEG,4700001499,0067230353,2020-10-08T00:00:00,1970-01-01T10:34:17,ME23N
010,EINKBELEG,4700001499,0067230928,2020-10-08T00:00:00,1970-01-01T10:51:22,ME23N
010,EINKBELEG,4700001499,0067272955,2020-10-13T00:00:00,1970-01-01T09:59:21,ME23N
010,EINKBELEG,4700001499,0070844450,2021-07-08T00:00:00,1970-01-01T12:10:52,ME23N
010,EINKBELEG,4700001499,0073958625,2022-03-09T00:00:00,1970-01-01T11:45:41,ME23N
010,EINKBELEG,0072102940,0077190210,2022-12-20T00:00:00,1970-01-01T11:56:17,ME23N
010,EINKBELEG,0072102940,0077203357,2022-12-21T00:00:00,1970-01-01T12:06:50,ME23N
010,EINKBELEG,0072107406,0076945457,2022-12-01T00:00:00,1970-01-01T14:27:06,ME23N
010,EINKBELEG,0072107406,0077213610,2022-12-22T00:00:00,1970-01-01T07:41:14,ME23N
010,EINKBELEG,0072107914,0076513008,2022-10-25T00:00:00,1970-01-01T12:31:54,ME21N
